paper_ref,title,year,digest_status,references_status,citation_analysis_status,reference_count,digest_chars,references_json_chars,references_markdown_chars,citation_report_chars,core_full_context_chars,external_full_context_chars,digest_tokens,references_markdown_tokens,citation_report_tokens,core_full_context_tokens,external_full_context_tokens,core_context_path,external_context_path
1:29IBKEUR,Sparse DETR: efficient end-to-end object detection with learnable sparsity,2022,available,available,available,32,2087,5803,3531,844,2314,4636,1235,1089,431,1298,1587,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_29IBKEUR.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_29IBKEUR.md
1:2KUGMFL2,YOLACT: Real-time Instance Segmentation,2019,available,available,available,47,2581,8652,5300,17679,2738,23170,1715,1483,4877,1768,6417,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_2KUGMFL2.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_2KUGMFL2.md
1:3JUY9GBQ,DETR3D: 3D object detection from multi-view images via 3D-to-2D queries,2022,available,available,available,42,1175,7323,4331,10214,1396,14800,771,1427,2879,852,4391,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_3JUY9GBQ.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_3JUY9GBQ.md
1:3YG8UNCI,Rank-DETR for high quality object detection,2023,available,available,available,78,2299,14252,8668,1120,2464,9987,1427,2558,621,1477,3233,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_3YG8UNCI.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_3YG8UNCI.md
1:4DB3YS8Y,SOLOv2: Dynamic and Fast Instance Segmentation,2020,available,available,available,45,1350,7930,4722,10810,1521,15737,861,1421,4093,916,5573,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_4DB3YS8Y.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_4DB3YS8Y.md
1:4FUJYLNY,Object Detection with Transformers: A Review,2025,missing,missing,missing,0,0,0,0,0,203,282,0,0,0,55,64,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_4FUJYLNY.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_4FUJYLNY.md
1:4IUAXCCZ,Joint perceptual learning for enhancement and object detection in underwater scenarios,2023,available,available,available,52,2396,9034,5322,5114,2647,10721,1285,1656,2003,1343,3721,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_4IUAXCCZ.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_4IUAXCCZ.md
1:53A2WXX8,Masked-attention Mask Transformer for Universal Image Segmentation,2022,available,available,available,66,1313,12027,7307,8044,1524,15596,861,2124,3127,918,5312,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_53A2WXX8.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_53A2WXX8.md
1:5HBHAWIV,Deformable DETR: deformable transformers for end-to-end object detection,2021,available,available,available,44,3609,8012,4876,11430,3832,16563,1639,1413,4185,1703,5666,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_5HBHAWIV.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_5HBHAWIV.md
1:76BD6UYE,SOLO: Segmenting Objects by Locations,2020,available,available,available,34,813,5141,2725,4616,966,7528,639,1151,2767,687,3970,artifact/synthesis-token-calibration-20260605/trimmed-contexts/core-analysis-papers/1_76BD6UYE.md,artifact/synthesis-token-calibration-20260605/trimmed-contexts/external-literature-papers/1_76BD6UYE.md
